MUT,+4:00
COT,-5:00
IRST,+3:30
RET,+4:00
IST,+5:30
WT,+0:00
YAKST,+10:00
AWST,+8:00
GST,+4:00
SAST,+2:00
AST,-4:00
BST,+1:00
CST_CHINA,+8:00
PET,-5:00
MAGST,+12:00
HST,-10:00
WET,+0:00
CLT,-4:00
NZST,+12:00
WAT,+1:00
GMT,+0:00
VLAST,+11:00
BRT,-3:00
USZ1,+2:00
IRKST,+9:00
KRAST,+8:00
EET,+2:00
CVT,-1:00
MST,-7:00
WAST,+2:00
CAT,+2:00
AEST,+10:00
MSK,+4:00
WST,+13:00
ACST,+9:30
SGT,+8:00
CET,+1:00
CEST,+2:00
EEST,+3:00
SCT,+4:00
NST,-3:30
EAT,+3:00
YEKST,+6:00
EST,-5:00
WGT,-3:00
ART,-3:00
WEST,+1:00
CST_NA,-6:00
OMSST,+7:00
PST,-8:00
JST,+9:00
